step,metric,value
0,training/epoch,0
0,training/train_loss,2.1603240966796875
0,training/learning_rate,0.05
0,training/train_loss,2.1603240966796875
0,training/val_acc__single_5,0.19065728643216082
0,training/val_acc_5,0.22120603015075377
0,training/val_acc__single_10,0.21750606060606062
0,training/val_acc_10,0.2548989898989899
100,training/train_loss,0.45851466059684753
100,training/learning_rate,0.05
100,training/train_loss,0.45851466059684753
100,training/val_acc__single_5,0.3675829145728643
100,training/val_acc_5,0.42844221105527636
100,training/val_acc__single_10,0.4399111111111111
100,training/val_acc_10,0.5276767676767676
